column_name,item_label,mapping
practices_1,Do you pray the daily prayers (salah)?,"{1: ""No"", 2: ""Yes""}"
practices_2,"If yes, how many times do you pray each day (on average)?","{0: ""0"", 1: ""1"", 2: ""2-4"", 3: ""5""}"
practices_3,How often do you feel focused in prayer?,"{1: ""Never"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
practices_4,How often do you feel a sense of connection during prayer?,"{1: ""Never"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
practices_5,"How often do you spend time learning about Islam (reading Islamic articles/web content/books, listening to or watching lectures/podcasts, or attending classes/halaqas)?","{1: ""Never"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
practices_6,How often do you read the Quran (outside of the daily prayers)?,"{1: ""Never"", 2: ""Sometimes"", 3: ""Half the time"", 4: ""Most of the time"", 5: ""Always""}"
practices_7,What is your view of the following statement: “Modesty is an important virtue.,"{1: ""Strongly disagree"", 2: ""Somewhat disagree"", 3: ""Somewhat agree"", 4: ""Strongly agree""}"
practices_8_1,I try to dress modestly.,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Most of the time""}"
practices_8_2,I try to act modestly/appropriately in my interactions with the opposite gender,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Most of the time""}"
practices_10,Do you wear the hijab? (outside of Salah/Prayer?),"{1: ""Never"", 2: ""Sometimes"", 3: ""Always""}"
practices_11_1,"If answered Always or Sometimes: To me, wearing hijab is an important part of my faith","{1: ""Strongly Disagree"", 2: ""Disagree"", 3: ""Neutral"", 4: ""Agree"", 5: ""Strongly Agree""}"
practices_11_2,If answered Always or Sometimes: Wearing hijab helps me to feel closer to God.,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Most of the time""}"
practices_11_3,If answered Always or Sometimes: I only wear hijab so that others don’t judge me,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Most of the time""}"
practices_13,How often do you fast during the month of Ramadan?,"{1: ""Never"", 2: ""A few days of Ramadan"", 3: ""About half of Ramadan"", 4: ""Most days of Ramadan"", 5: ""All days of Ramadan when I am not excused for health / gender reasons"", 6:""I am excused from fasting (e.g., health reasons)""}"
practices_14,How often do you make du’a to Allah (outside of prayer)?,"{1: ""I’ve never heard of du’a"", 2: ""Never"", 3: ""A few times a year"", 4: ""A few times a month"", 5:""A few times per week"", 6: ""Daily""}"
practices_15_1,Drinking alcohol,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_15_2,"Smoking (cigarettes, vaping, hookah)","{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_15_3,Flirting or hanging out with the opposite gender,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_15_4,Making Out,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_15_5,Hooking Up/Sex,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_15_6,"Watching pornography? Watching inappropriate content (makeout scenes, improper images of the opposite gender, inappropriate dancing)","{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_15_7,Losing my temper / yelling,"{1: ""Never"", 2: ""Rarely"", 3: ""Sometimes"", 4: ""Often"", 5: ""Regularly""}"
practices_16,"How often do you engage in charitable acts (donating to the poor, community service projects, etc)?","{1: ""Never"", 2: ""Once a year"", 3: ""Once a month"", 4: ""Once a week"", 5: ""Daily""}"
practices_17,"How often do you attend religious programming outside of the home that isn’t specifically for youth (for example, attending Jumuah, adult classes, etc)?","{1: ""Never"", 2: ""A few times per year"", 3: ""A few times per month"", 4: ""Weekly (once a week)""}"
practices_19,"Does your community center or mosque have an organized youth group for kids your age ? [“Youth group means an organized group of young people that meets regularly for social time together, prayer, or to learn more about their religious faith.”] *If you attend more than one center, respond about one you go to most often","{1: ""No"", 2: ""Yes"", 3: ""I don’t know""}"
practices_20,Are you currently involved in this religious youth group?,"{1: ""No"", 2: ""Yes""}"
practices_21,About how often do you attend this youth group’s meetings and events?,"{7: ""More than once a week"", 6: ""About once a week"", 5: ""2-3 times a month"", 4: ""About once a month"", 3: ""A few times a year"", 2: ""Almost never"", 1: ""I don’t know""}"
beliefs_1,Do you “believe in God” ?,"{3: ""not sure"", 1: ""No"", 2: ""Yes""}"
beliefs_2,Do you believe in a higher power?,"{1: ""No"", 2: ""Yes""}"
beliefs_3,Do you consider yourself to be:,"{7: ""Practicing Muslim"", 6: ""Culturally Muslim"", 5: ""Non-practicing Muslim"", 4: ""Spiritual but not religious"", 3: ""Want to Belong to Religious Group"", 2: ""Agnostic"", 1: ""Atheist"", 0: ""Don’t know""}"
beliefs_5,How uncertain are you about God’s existence?,"{1: ""Extremely uncertain"", 2: ""Somewhat uncertain"", 3: ""Neither uncertain nor certain"", 4: ""Somewhat certain"", 5: ""Extremely certain""}"
beliefs_6,How long have you felt this way?,"{1: ""less than a year"", 2: ""1-2 years"", 3: ""3-5 years"", 4: ""More than 5 years"", 5: ""Other""}"
beliefs_7,Have you told anyone?,"{2: ""Yes"", 1: ""No""}"
beliefs_10,How certain are you that God doesn’t exist?,"{1: ""Extremely uncertain"", 2: ""Somewhat uncertain"", 3: ""Neither uncertain nor certain"", 4: ""Somewhat certain"", 5: ""Extremely certain""}"
beliefs_11,How long have you felt this way?,"{1: ""less than a year"", 2: ""1-2 years"", 3: ""3-5 years"", 4: ""more than 5 years"", 5: ""Other""}"
beliefs_12,How important is religious faith in shaping how you live your daily life?,"{5: ""Extremely important"", 4: ""Very important"", 3: ""Somewhat important"", 2: ""Very unimportant"", 1: ""Not at all important""}"
beliefs_13,I have very positive feelings about the religious tradition in which I was raised.,"{4: ""Strongly agree"", 3: ""Agree"", 2: ""Disagree"", 1: ""Strongly Disagree"", 0: ""Don’t know / Unsure / Does not apply""}"
beliefs_14,Which of the following views comes closest to your own view of God?,"{4: ""God is involved in the lives of people today"", 3: ""God created the world, but is not involved in the world now"", 2: ""God is not personal, but something like a cosmic life force"", 1: ""None of these views reflects my own view of God""}"
beliefs_15,"How important is the life of Prophet Muhammad (e.g., his teachings, his example) in your day to day life?","{1: ""Not important"", 2: ""A little important"", 3: ""Somewhat important"", 4: ""Important"", 5: ""Very important""}"
beliefs_16,Which ONE of these statements comes closest to describing your feelings about the Qur’an? The Qur’an is…,"{1: ""The Word of God"", 2: ""A useful book of guidance and advice but not necessarily the Word of God"", 3: ""Beautiful literature but otherwise irrelevant to us today"", 4: ""An irrelevant collection of ancient myths and stories"", 5: ""I do not have a view on this""}"
beliefs_17_1,That there will come a judgment day when God will reward some and punish others?,"{2: ""Yes"", 1: ""No""}"
beliefs_17_2,That humans have free will?,"{2: ""Yes"", 1: ""No""}"
beliefs_18,How often do you think about God?,"{4: ""Regularly every day"", 3: ""Sometimes a few times per week"", 2: ""Rarely a few times per month"", 1: ""Never""}"
beliefs_19,Which of the following statements comes closest to your personal beliefs about who can go to heaven?,"{4: ""Only Muslims can go to heaven"", 3: ""It is possible for non-Muslims to go to heaven depending on life and message received"", 2: ""Everyone goes to heaven"", 1: ""I don’t believe in heaven""}"
beliefs_20_1,I feel God’s love for me,"{1: ""Not At All"", 2: ""Somewhat Disagree"", 3: ""Neutral"", 4: ""Agree"", 5: ""Strongly Agree""}"
beliefs_20_2,I feel like God cares more about punishment than forgiveness.,"{1: ""Not At All"", 2: ""Somewhat Disagree"", 3: ""Neutral"", 4: ""Agree"", 5: ""Strongly Agree""}"
beliefs_20_3,Religion feels like a list of rules and restrictions,"{1: ""Not At All"", 2: ""Somewhat Disagree"", 3: ""Neutral"", 4: ""Agree"", 5: ""Strongly Agree""}"
values&motivation_2_1,I want to please Allah,"{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
values&motivation_2_2,I want to earn good deeds or stay away from bad deeds,"{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
values&motivation_2_3,It makes me feel good inside,"{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
values&motivation_2_4,It helps me define myself/part of who I am,"{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
values&motivation_2_5,I don’t really think about why,"{1: ""Strongly Agree"", 2: ""Agree"", 3: ""Neutral"", 4: ""Somewhat Disagree"", 5: ""Not At All""}"
